Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8,1.37,4461.1677,0,1,492872.2,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,2993.4702,0,0,155977.44,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,1914.75,0,0,236376.92,Intel Core i5,0,256,Intel,Linux/Others/No OS
Apple,Ultrabook,16,1.83,8449.708499999999,0,1,538714.3,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,6005.988,0,1,492872.2,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,1332.0,0,0,119661.8,AMD cpu,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,7126.1001,0,1,538714.3,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,3858.471,0,0,155977.44,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,4978.349999999999,0,0,263391.44,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,2564.1,0,1,263391.44,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,1311.687,0,0,119661.8,Intel Core i5,500,0,Intel,Linux/Others/No OS
HP,Notebook,4,1.86,1148.8167,0,0,236376.92,Intel Core i3,500,0,Intel,Linux/Others/No OS
Apple,Ultrabook,16,1.83,8125.1001,0,1,538714.3,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,1661.337,0,0,236376.92,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,4203.792,0,1,442488.0,Other Intel cpu,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,5056.7715,0,1,492872.2,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,2480.85,0,0,236376.92,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,9517.14,0,1,538714.3,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,1661.67,0,0,236376.92,Intel Core i3,1000,0,Nvidia,Linux/Others/No OS
Dell,Ultrabook,8,1.22,3260.07,1,1,277254.12,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,639.027,0,0,160924.48,Other Intel cpu,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,3326.67,0,1,236376.92,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,859.14,0,0,119661.8,AMD cpu,500,0,AMD,Linux/Others/No OS
Dell,2 in 1 Convertible,8,1.62,2727.27,1,0,277254.12,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,2194.47,0,0,236376.92,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,1394.0712,0,0,119661.8,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,3659.67,0,0,155977.44,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,2664.0,0,0,236376.92,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,4322.34,0,0,236376.92,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,2983.68,0,0,213149.14,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,815.8167,0,0,236376.92,Other Intel cpu,0,0,Intel,Windows
Asus,Notebook,2,1.65,662.67,0,0,133337.42,AMD cpu,0,0,AMD,Windows
HP,Notebook,4,2.71,1461.87,0,0,213149.14,AMD cpu,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,6223.77,1,0,770060.1,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,3323.34,0,0,155977.44,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,829.17,0,0,133337.42,Other Intel cpu,0,0,Intel,Windows
Acer,Notebook,4,2.1,1222.11,0,0,119661.8,Intel Core i3,1000,0,Intel,Linux/Others/No OS
